Make,Height,Length,Width,Fuel Type,Classification,Driveline,Number_of_Forward_Gears,City_MPG,Highway_MPG,Horsepower,Torque
Chevrolet,112,22,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,112,140,181,Gasoline,Manual,Rear-wheel drive,5,20,26,185,190
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,18,25,185,190
Chevrolet,24,60,224,E85,Automatic,Rear-wheel drive,4,10,13,310,334
Chevrolet,24,60,224,Gasoline,Automatic,All-wheel drive,4,13,17,310,334
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,77,102,237,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,226,79,142,Gasoline,Manual,Front-wheel drive,5,27,35,108,105
Chevrolet,226,79,142,Gasoline,Automatic,Front-wheel drive,4,25,34,108,105
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,29,304,273
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,18,29,304,273
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,29,304,273
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,18,29,304,273
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,17,29,304,273
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,18,29,304,273
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,16,25,426,420
Chevrolet,96,228,125,Gasoline,Manual,Rear-wheel drive,6,16,24,426,420
Chevrolet,96,228,125,Gasoline,Automatic,Rear-wheel drive,6,16,25,426,420
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,15,24,505,470
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,223,82,52,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,223,82,52,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,123,135,Gasoline,Manual,Rear-wheel drive,6,14,20,638,604
Chevrolet,212,123,135,Gasoline,Manual,Rear-wheel drive,6,14,20,638,604
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,212,108,135,Gasoline,Manual,Rear-wheel drive,6,16,26,430,424
Chevrolet,212,108,135,Gasoline,Automatic,Rear-wheel drive,6,15,25,430,424
Chevrolet,148,162,49,Gasoline,Automatic,Front-wheel drive,6,22,32,182,172
Chevrolet,148,162,49,Gasoline,Automatic,All-wheel drive,6,20,29,182,172
Chevrolet,224,162,49,Gasoline,Automatic,Front-wheel drive,6,22,32,182,172
Chevrolet,224,162,49,Gasoline,Automatic,Front-wheel drive,6,22,32,182,172
Chevrolet,224,162,49,Gasoline,Automatic,All-wheel drive,6,20,29,182,172
Chevrolet,224,162,49,Gasoline,Automatic,Front-wheel drive,6,22,32,182,172
Chevrolet,224,162,49,Gasoline,Automatic,All-wheel drive,6,20,29,182,172
Chevrolet,224,162,49,Gasoline,Automatic,All-wheel drive,6,20,29,182,172
Chevrolet,24,60,224,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,24,60,224,E85,Automatic,Rear-wheel drive,4,10,13,310,334
Chevrolet,24,60,224,E85,Automatic,All-wheel drive,4,10,13,310,334
Chevrolet,66,123,219,Gasoline,Manual,Front-wheel drive,5,22,32,155,150
Chevrolet,66,123,219,Gasoline,Automatic,Front-wheel drive,4,22,30,155,150
Chevrolet,66,123,219,E85,Manual,Front-wheel drive,5,16,23,155,150
Chevrolet,66,123,219,Gasoline,Automatic,Front-wheel drive,4,22,30,155,150
Chevrolet,66,123,219,E85,Manual,Front-wheel drive,5,16,22,172,167
Chevrolet,66,123,219,E85,Automatic,Front-wheel drive,4,15,21,172,167
Chevrolet,51,131,219,Gasoline,Manual,Front-wheel drive,5,21,29,260,260
Chevrolet,51,131,219,Gasoline,Automatic,Front-wheel drive,4,19,29,260,260
Chevrolet,66,123,219,E85,Manual,Front-wheel drive,5,16,23,155,150
Chevrolet,66,123,219,Gasoline,Automatic,Front-wheel drive,4,22,30,155,150
Chevrolet,66,123,219,Gasoline,Manual,Front-wheel drive,5,22,32,155,150
Chevrolet,66,123,219,E85,Automatic,Front-wheel drive,4,16,22,155,150
Chevrolet,66,123,219,Gasoline,Manual,Front-wheel drive,5,22,30,172,167
Chevrolet,66,123,219,E85,Automatic,Front-wheel drive,4,15,21,172,167
Chevrolet,210,226,59,E85,Automatic,Front-wheel drive,4,14,22,211,216
Chevrolet,210,226,59,Gasoline,Automatic,Front-wheel drive,4,18,29,211,216
Chevrolet,210,226,59,E85,Automatic,Front-wheel drive,4,13,20,230,235
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,4,22,30,169,160
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,4,22,30,170,158
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,6,22,33,169,160
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,6,22,33,169,160
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,6,17,26,252,251
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,6,22,33,169,160
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,6,17,26,252,251
Chevrolet,170,7,249,Gasoline,Automatic,Front-wheel drive,4,26,34,164,159
Chevrolet,158,16,217,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,158,16,217,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,158,16,217,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,All-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,All-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,161,10,214,Gasoline,Automatic,All-wheel drive,6,15,21,320,335
Chevrolet,102,10,214,Gasoline,Automatic,Rear-wheel drive,4,21,22,332,367
Chevrolet,107,10,214,Gasoline,Automatic,All-wheel drive,4,21,22,332,367
Chevrolet,57,87,199,Gasoline,Automatic,Front-wheel drive,6,17,24,281,266
Chevrolet,57,87,199,Gasoline,Automatic,All-wheel drive,6,16,23,281,266
Chevrolet,57,87,199,Gasoline,Automatic,Front-wheel drive,6,17,24,281,266
Chevrolet,57,87,199,Gasoline,Automatic,All-wheel drive,6,16,23,281,266
Chevrolet,57,87,199,Gasoline,Automatic,Front-wheel drive,6,17,24,281,266
Chevrolet,57,87,199,Gasoline,Automatic,All-wheel drive,6,16,23,281,266
Chevrolet,57,87,199,Gasoline,Automatic,Front-wheel drive,6,17,24,288,270
Chevrolet,57,87,199,Gasoline,Automatic,All-wheel drive,6,16,23,288,270
Chevrolet,153,245,217,E85,Automatic,Rear-wheel drive,6,11,16,320,335
Chevrolet,153,245,217,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,153,245,217,Gasoline,Automatic,Rear-wheel drive,6,15,21,320,335
Chevrolet,153,245,217,Gasoline,Automatic,All-wheel drive,6,15,21,320,335
Chevrolet,153,245,217,E85,Automatic,All-wheel drive,6,11,16,320,335
Chevrolet,153,245,217,E85,Automatic,All-wheel drive,6,11,16,320,335
Chevrolet,112,22,181,Gasoline,Automatic,Rear-wheel drive,4,18,25,185,190
Chevrolet,112,22,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,112,22,181,Gasoline,Manual,Rear-wheel drive,5,18,25,185,190
Chevrolet,112,22,181,Gasoline,Automatic,Rear-wheel drive,4,18,25,185,190
Chevrolet,112,22,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,181,22,206,Gasoline,Manual,All-wheel drive,5,18,24,185,190
Chevrolet,181,22,206,Gasoline,Automatic,All-wheel drive,4,17,23,185,190
Chevrolet,181,22,206,Gasoline,Automatic,All-wheel drive,4,17,23,242,242
Chevrolet,181,22,206,Gasoline,Manual,All-wheel drive,5,18,24,185,190
Chevrolet,181,22,206,Gasoline,Automatic,All-wheel drive,4,17,23,185,190
Chevrolet,181,22,206,Gasoline,Automatic,All-wheel drive,4,17,23,242,242
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,120,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,188,140,206,Gasoline,Automatic,All-wheel drive,4,16,21,242,242
Chevrolet,188,140,206,Gasoline,Automatic,All-wheel drive,4,14,19,300,320
Chevrolet,188,140,206,Gasoline,Automatic,All-wheel drive,4,16,21,242,242
Chevrolet,188,140,206,Gasoline,Automatic,All-wheel drive,4,14,19,300,320
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,24,185,190
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,112,140,181,Gasoline,Manual,Rear-wheel drive,5,20,26,185,190
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,24,185,190
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,23,242,242
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,15,20,300,320
Chevrolet,181,140,206,Gasoline,Manual,All-wheel drive,5,18,24,185,190
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,16,23,185,190
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,16,22,242,242
Chevrolet,181,140,206,Gasoline,Manual,All-wheel drive,5,18,24,185,190
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,16,23,185,190
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,16,22,242,242
Chevrolet,112,140,181,Gasoline,Automatic,Rear-wheel drive,4,17,24,185,190
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,16,22,242,242
Chevrolet,181,140,206,Gasoline,Automatic,All-wheel drive,4,14,19,300,320
Chevrolet,82,207,240,Gasoline,Automatic,Rear-wheel drive,4,21,22,332,367
Chevrolet,82,207,240,Gasoline,Automatic,Rear-wheel drive,4,21,22,332,367
Chevrolet,79,207,240,Gasoline,Automatic,All-wheel drive,4,21,22,332,367
Chevrolet,79,207,240,Gasoline,Automatic,All-wheel drive,4,21,22,332,367
Chevrolet,77,102,237,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,77,102,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,77,102,237,E85,Automatic,Rear-wheel drive,4,10,14,302,305
Chevrolet,77,102,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,82,102,237,Gasoline,Automatic,All-wheel drive,4,14,18,195,260
Chevrolet,82,102,237,Gasoline,Automatic,All-wheel drive,4,13,18,302,305
Chevrolet,82,102,237,E85,Automatic,All-wheel drive,6,11,16,315,335
Chevrolet,82,102,237,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,82,102,237,E85,Automatic,All-wheel drive,6,11,16,315,335
Chevrolet,74,70,237,Gasoline,Automatic,Rear-wheel drive,4,15,20,195,260
Chevrolet,74,70,237,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,74,70,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,74,70,237,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,74,70,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,82,70,237,Gasoline,Automatic,All-wheel drive,4,14,18,195,260
Chevrolet,82,70,237,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,82,70,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,82,70,237,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,82,70,237,E85,Automatic,All-wheel drive,6,11,16,315,335
Chevrolet,82,215,240,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,6,15,21,315,335
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,6,13,19,403,417
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,6,15,22,315,335
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,6,15,21,315,335
Chevrolet,82,215,240,Gasoline,Automatic,Rear-wheel drive,6,13,19,403,417
Chevrolet,79,215,240,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,79,215,240,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,79,215,240,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,79,215,240,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,79,215,240,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,79,215,240,Gasoline,Automatic,All-wheel drive,6,12,19,403,417
Chevrolet,79,215,240,E85,Automatic,All-wheel drive,6,11,16,315,335
Chevrolet,79,215,240,Gasoline,Automatic,All-wheel drive,6,12,19,403,417
Chevrolet,85,215,237,E85,Automatic,Rear-wheel drive,4,10,14,302,305
Chevrolet,85,215,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,4,14,19,302,305
Chevrolet,85,215,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,6,13,19,403,417
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,6,15,21,315,335
Chevrolet,85,215,237,Gasoline,Automatic,Rear-wheel drive,6,13,19,403,417
Chevrolet,79,215,237,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,79,215,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,79,215,237,Gasoline,Automatic,All-wheel drive,4,13,18,302,305
Chevrolet,79,215,237,E85,Automatic,All-wheel drive,4,10,13,302,305
Chevrolet,79,215,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,79,215,237,E85,Automatic,All-wheel drive,6,9,13,403,417
Chevrolet,79,215,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,79,215,237,Gasoline,Automatic,All-wheel drive,6,12,19,403,417
Chevrolet,77,185,237,E85,Automatic,Rear-wheel drive,6,11,16,315,335
Chevrolet,77,185,237,Gasoline,Automatic,Rear-wheel drive,6,15,21,315,335
Chevrolet,77,185,237,Gasoline,Automatic,Rear-wheel drive,6,15,21,315,335
Chevrolet,77,185,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Chevrolet,77,185,237,E85,Automatic,All-wheel drive,6,11,16,315,335
Chevrolet,77,185,237,Gasoline,Automatic,All-wheel drive,6,15,21,315,335
Honda,152,240,57,Gasoline,Manual,Front-wheel drive,6,17,25,271,251
Honda,152,240,57,Gasoline,Automatic,Front-wheel drive,5,21,31,190,162
Honda,152,240,57,Gasoline,Manual,Front-wheel drive,5,22,31,190,162
Honda,152,240,57,Gasoline,Automatic,Front-wheel drive,5,21,31,190,162
Honda,152,240,57,Gasoline,Automatic,Front-wheel drive,5,19,28,271,251
Honda,152,240,57,Gasoline,Manual,Front-wheel drive,5,22,31,190,162
Honda,152,240,57,Gasoline,Automatic,Front-wheel drive,5,21,31,190,162
Honda,152,240,57,Gasoline,Manual,Front-wheel drive,5,22,31,190,162
Honda,58,66,54,Gasoline,Manual,Front-wheel drive,5,22,31,177,161
Honda,195,66,54,Gasoline,Automatic,Front-wheel drive,5,21,31,177,161
Honda,195,66,54,Gasoline,Manual,Front-wheel drive,5,22,31,177,161
Honda,195,66,54,Gasoline,Automatic,Front-wheel drive,5,21,31,177,161
Honda,195,66,54,Gasoline,Manual,Front-wheel drive,5,22,31,190,162
Honda,195,66,54,Gasoline,Automatic,Front-wheel drive,5,21,31,190,162
Honda,195,66,54,Gasoline,Manual,Front-wheel drive,5,22,31,190,162
Honda,195,66,54,Gasoline,Automatic,Front-wheel drive,5,21,31,190,162
Honda,195,71,54,Gasoline,Automatic,Front-wheel drive,5,19,29,271,254
Honda,195,71,54,Gasoline,Automatic,Front-wheel drive,5,19,29,271,254
Honda,135,134,105,Gasoline,Automatic,Front-wheel drive,5,18,27,271,254
Honda,135,134,105,Gasoline,Automatic,Front-wheel drive,5,18,27,271,254
Honda,135,134,105,Gasoline,Automatic,All-wheel drive,5,17,25,271,254
Honda,117,105,214,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,117,105,214,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,117,105,214,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,117,105,214,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,117,105,214,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,117,105,214,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,117,105,214,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,117,105,214,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,117,105,214,Gasoline,Manual,Front-wheel drive,6,21,29,197,139
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,117,105,214,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,155,151,216,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,155,151,216,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,155,151,216,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,155,151,216,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,5,26,34,140,128
Honda,155,151,216,Gasoline,Automatic,Front-wheel drive,5,25,36,140,128
Honda,155,151,216,Gasoline,Manual,Front-wheel drive,6,21,29,197,139
Honda,155,151,216,Compressed natural gas,Automatic,Front-wheel drive,5,24,36,113,109
Honda,244,8,158,Gasoline,Manual,Front-wheel drive,5,27,33,117,106
Honda,244,8,158,Gasoline,Automatic,Front-wheel drive,5,28,35,117,106
Honda,244,8,158,Gasoline,Manual,Front-wheel drive,5,27,33,117,106
Honda,244,8,158,Gasoline,Automatic,Front-wheel drive,5,27,33,117,106
Honda,142,166,26,Gasoline,Automatic,Front-wheel drive,5,21,28,180,161
Honda,142,166,26,Gasoline,Automatic,All-wheel drive,5,21,27,180,161
Honda,142,166,26,Gasoline,Automatic,Front-wheel drive,5,21,28,180,161
Honda,142,166,26,Gasoline,Automatic,All-wheel drive,5,21,27,180,161
Honda,142,166,26,Gasoline,Automatic,Front-wheel drive,5,21,28,180,161
Honda,26,166,26,Gasoline,Automatic,All-wheel drive,5,21,27,180,161
Honda,252,219,26,Gasoline,Automatic,Front-wheel drive,5,20,25,166,161
Honda,252,219,26,Gasoline,Automatic,All-wheel drive,5,19,24,166,161
Honda,252,219,26,Gasoline,Automatic,Front-wheel drive,5,20,25,166,161
Honda,252,219,26,Gasoline,Manual,All-wheel drive,5,18,23,166,161
Honda,252,219,26,Gasoline,Automatic,All-wheel drive,5,19,24,166,161
Honda,229,232,26,Gasoline,Manual,Front-wheel drive,5,18,23,166,161
Honda,229,232,26,Gasoline,Automatic,Front-wheel drive,5,20,25,166,161
Honda,11,240,201,Gasoline,Automatic,Front-wheel drive,5,17,23,250,253
Honda,54,240,201,Gasoline,Automatic,Front-wheel drive,5,17,23,250,253
Honda,54,240,201,Gasoline,Automatic,Front-wheel drive,5,17,23,250,253
Honda,54,240,201,Gasoline,Automatic,All-wheel drive,5,16,22,250,253
Honda,54,240,201,Gasoline,Automatic,Front-wheel drive,5,17,23,250,253
Honda,54,240,201,Gasoline,Automatic,All-wheel drive,5,16,22,250,253
Honda,211,13,166,Gasoline,Automatic,Front-wheel drive,5,16,23,244,240
Honda,242,13,166,Gasoline,Automatic,Front-wheel drive,5,16,23,244,240
Honda,242,13,166,Gasoline,Automatic,Front-wheel drive,5,17,25,244,245
Honda,242,13,166,Gasoline,Automatic,Front-wheel drive,5,17,25,244,245
Honda,249,137,184,Gasoline,Automatic,All-wheel drive,5,15,20,250,247
Honda,249,137,184,Gasoline,Automatic,All-wheel drive,5,15,20,250,247
Honda,16,137,184,Gasoline,Automatic,All-wheel drive,5,15,20,250,247